NCBI Accession,Genome Name
NC_084355.1,"Kodaianella bicinctifrons mitochondrion, complete genome"
NC_084354.1,"Aplos simplex mitochondrion, complete genome"
NC_084353.1,"Zanna robusticephalica mitochondrion, complete genome"
NC_084352.1,"Iberochondrostoma almacai mitochondrion, complete genome"
NC_084349.1,"Capulus dilatatus mitochondrion, complete genome"
NC_084348.1,"UNVERIFIED: Sinolapotamon palmatum mitochondrion, complete genome"
NC_084347.1,"UNVERIFIED: Sinolapotamon cirratum mitochondrion, complete genome"
NC_084346.1,"Gobiomorphus huttoni voucher NMNZ P.061393 mitochondrion, complete genome"
NC_084345.1,"Cricula andrei mitochondrion, complete genome"
NC_084343.1,"Pylorgus sordidus mitochondrion, complete genome"
NC_084340.1,"Neuroctenus taiwanicus mitochondrion, complete genome"
NC_084338.1,"Bungarus multicinctus mitochondrion, complete genome"
NC_084334.1,"Loepa microocellata mitochondrion, complete genome"
NC_084326.1,"Epicauta sibirica mitochondrion, complete genome"
NC_084323.1,"Asura unipuncta mitochondrion, complete genome"
NC_084322.1,"Forcipomyia pulchrithorax isolate TR-ERUFor1 mitochondrion, complete genome"
NC_084315.1,"Paranaspides williamsi mitochondrion, complete genome"
NC_084314.1,"Anaspides tasmaniae mitochondrion, complete genome"
NC_084313.1,"Anaspides driesseni mitochondrion, complete genome"
NC_084312.1,"Anaspides spinulae mitochondrion, complete genome"
NC_084311.1,"Anaspides eberhardi mitochondrion, complete genome"
NC_084310.1,"Anaspides jarmani mitochondrion, complete genome"
NC_084309.1,"Anaspides richardsoni mitochondrion, complete genome"
NC_084308.1,"Anaspides swaini mitochondrion, complete genome"
NC_084307.1,"Allanaspides hickmani mitochondrion, complete genome"
NC_084306.1,"Allanaspides helonomus mitochondrion, complete genome"
NC_084305.1,"Paranaspides lacustris mitochondrion, complete genome"
NC_084304.1,"Anaspides clarkei mitochondrion, complete genome"
NC_084303.1,"Sclerotia aquatilis voucher KU-2013-35-02 mitochondrion, complete genome"
NC_084302.1,"Pteroptyx valida voucher KU-2015-15-Pv05 mitochondrion, complete genome"
NC_084301.1,"Pteroptyx malaccae voucher KU-2012-06-24 mitochondrion, complete genome"
NC_084300.1,"Pteroptyx asymmetria voucher KU-2015-15-Pa05 mitochondrion, complete genome"
NC_084299.1,"Medeopteryx maehongsonensis voucher KU-2016-11-15 mitochondrion, complete genome"
NC_084298.1,"Medeopteryx isaanensis voucher KU-2015-20-06 mitochondrion, complete genome"
NC_084297.1,"Medeopteryx incisura voucher KU-2013-36-07 mitochondrion, complete genome"
NC_084296.1,"Medeopteryx alacauda voucher KU-2016-12-36 mitochondrion, complete genome"
NC_084295.1,"Australoluciola thailandica voucher KU-2016-08-18 mitochondrion, complete genome"
NC_084294.1,"Seriana bacilla mitochondrion, complete genome"
NC_084292.1,"Chibiraga houshuaii voucher GZUTCM:L01 mitochondrion, complete genome"
NC_084289.1,"Eunaticina papilla mitochondrion, complete genome"
NC_084287.1,"Buniapone amblyops mitochondrion, complete genome"
NC_084286.1,"Harpegnathos venator mitochondrion, complete genome"
NC_084285.1,"Hypsipetes amaurotis mitochondrion, complete genome"
NC_084280.1,"Psyllopsis discrepans mitochondrion, complete genome"
NC_084268.1,"Macrotermes herus isolate WE3 mitochondrion, complete genome"
NC_084266.1,"Anagyrus galinae mitochondrion, complete genome"
NC_084265.1,"Nemurella pictetii mitochondrion, complete genome"
NC_084264.1,"Lednia tumana mitochondrion, complete genome"
NC_084263.1,"Atractomorpha lata mitochondrion, complete genome"
NC_084245.1,"Argyresthia conjugella isolate RBM-AM4 mitochondrion, complete genome"
NC_084244.1,"Cichla temensis mitochondrion, complete genome"
NC_084243.1,"Cichla monoculus mitochondrion, complete genome"
NC_084242.1,"Cichla piquiti mitochondrion, complete genome"
NC_084241.1,"Chiromyscus langbianis mitochondrion, complete genome"
NC_084239.1,"Unedogemmula leucotropis mitochondrion, complete genome"
NC_084230.1,"Polysteganus undulosus mitochondrion, complete genome"
NC_084214.1,"Euprotomus aratrum mitochondrion, complete genome"
NC_084213.1,"Canarium labiatum mitochondrion, complete genome"
NC_084210.1,"Lentigo lentiginosus mitochondrion, complete genome"
NC_084209.1,"Hypselodoris whitei mitochondrion, complete genome"
NC_084207.1,"Fulgoraria rupestris mitochondrion, complete genome"
NC_084205.1,"Rhipicephalus pumilio mitochondrion, complete genome"
NC_084204.1,"Haemaphysalis warburtoni mitochondrion, complete genome"
NC_084198.1,"Pseudodiaptomus hessei mitochondrion, complete genome"
NC_084197.1,"Odontothrips phaseoli isolate JM2021030-37-1 mitochondrion, complete genome"
NC_084194.1,"Schistura polytaenia mitochondrion, complete genome"
NC_084193.1,"Phyllorhiza punctata mitochondrion, complete genome"
NC_084192.1,"Cheiloneurus chinensis mitochondrion, complete genome"
NC_084184.1,"Turnix suscitator mitochondrion, complete genome"
NC_084183.1,"Anotylus gibbulus mitochondrion, complete genome"
NC_084178.1,"Kalicephalus indicus mitochondrion, complete genome"
NC_084173.1,"Pselliophora bifascipennis mitochondrion, complete genome"
NC_084172.1,"Mylabris sibirica mitochondrion, complete genome"
NC_084171.1,"Exoristobia philippinensis mitochondrion, complete genome"
NC_084170.1,"Lispe neimongola mitochondrion, complete genome"
NC_084169.1,"Aplomya metallica mitochondrion, complete genome"
NC_084163.1,"Hemiculterella wui mitochondrion, complete genome"
NC_084162.1,"Koreoleptoxis friniana mitochondrion, complete genome"
NC_084128.1,"Afronurus levis mitochondrion, complete genome"
NC_084124.1,"Nurudea zhengii mitochondrion, complete genome"
NC_084122.1,"Ochotona pallasi pricei mitochondrion, complete genome"
NC_084121.1,"Goniurosaurus bawanglingensis voucher ZY-23071801 mitochondrion, complete genome"
NC_084115.1,"Siboglinum plumosum mitochondrion, complete genome"
NC_084110.1,"Thaumaglossa rufocapillata voucher NAAS_TrufMG mitochondrion, complete genome"
NC_084105.1,"Eptesicus nilssonii mitochondrion, complete genome"
NC_084104.1,"Tenuidactylus dadunensis voucher XJA0007000 mitochondrion, complete genome"
NC_084101.1,"Volva habei mitochondrion, complete genome"
NC_084098.1,"Notropis boops isolate DF-4 mitochondrion, complete genome"
NC_084097.1,"Erimystax x-punctatus isolate MR-11 mitochondrion, complete genome"
NC_084096.1,"Notropis nubilus isolate SMCr-5 mitochondrion, complete genome"
NC_084095.1,"Cyprinella venusta isolate BC-34 mitochondrion, complete genome"
NC_084094.1,"Notropis buccata isolate RAH-1260 mitochondrion, complete genome"
NC_084093.1,"Notropis percobromus isolate SMCr-14 mitochondrion, complete genome"
NC_084092.1,"Notropis texanus isolate BC-20 mitochondrion, complete genome"
NC_084091.1,"Notropis maculatus isolate BC-29 mitochondrion, complete genome"
NC_084090.1,"Luxilus pilsbryi isolate LBC-13 mitochondrion, complete genome"
NC_084089.1,"Ammocrypta vivax isolate BC-36 mitochondrion, complete genome"
NC_084088.1,"Campostoma oligolepis isolate BP-5 mitochondrion, complete genome"
NC_084087.1,"Percina shumardi isolate WW-8 mitochondrion, complete genome"
NC_084086.1,"Percina vigil isolate WW-9 mitochondrion, complete genome"
NC_084085.1,"Percina sciera isolate WW-1 mitochondrion, complete genome"
NC_084084.1,"Moxostoma duquesnii isolate LP-2 mitochondrion, complete genome"
NC_084083.1,"Percina maculata isolate BC-41 mitochondrion, complete genome"
NC_084082.1,"Moxostoma erythrurum isolate LP-1 mitochondrion, complete genome"
NC_084081.1,"Etheostoma gracile isolate BC-28_ mitochondrion, complete genome"
NC_084080.1,"Etheostoma stigmaeum isolate BC-42 mitochondrion, complete genome"
NC_084079.1,"Fundulus catenatus isolate CC-2 mitochondrion, complete genome"
NC_084078.1,"Crystallaria asprella isolate BC-33 mitochondrion, complete genome"
NC_084077.1,"Cottus hypselurus isolate LBC-11_ mitochondrion, complete genome"
NC_084076.1,"Centrarchus macropterus isolate BC-1 mitochondrion, complete genome"
NC_084075.1,"Lepomis symmetricus isolate BC-10 mitochondrion, complete genome"
NC_084074.1,"Lepomis humilis isolate BC-21 mitochondrion, complete genome"
NC_084073.1,"Lepomis megalotis isolate SMCr-10 mitochondrion, complete genome"
NC_084064.1,"Aneogmena fischeri mitochondrion, complete genome"
NC_084053.1,"Pomacea aulanieri isolate Z23HYP mitochondrion, complete genome"
NC_084052.1,"Pomacea reevei isolate AE152NBI mitochondrion, complete genome"
NC_084043.1,"Peromyscus hooperi voucher USNM:79619 mitochondrion, complete genome"
NC_084003.1,"Phyllidiopsis shireenae mitochondrion, complete genome"
NC_084002.1,"Phyllidiopsis xishaensis mitochondrion, complete genome"
NC_084001.1,"Phyllidiella zeylanica mitochondrion, complete genome"
NC_084000.1,"Phyllidiella hageni mitochondrion, complete genome"
NC_083999.1,"Phyllidia picta mitochondrion, complete genome"
NC_083998.1,"Manis mysteria mitochondrion, complete genome"
NC_083983.1,"Torpedo suessii voucher NMW 88240 mitochondrion, complete genome"
NC_083978.1,"Mya japonica mitochondrion, complete genome"
NC_083976.1,"Monoserius pennarius mitochondrion, complete genome"
NC_083975.1,"Aurivittia aurivittata mitochondrion, complete genome"
NC_083974.1,"Capila neolineata mitochondrion, complete genome"
NC_083973.1,"Capila pennicillatum mitochondrion, complete genome"
NC_083972.1,"Gerosis sinica mitochondrion, complete genome"
NC_083971.1,"Satarupa monbeigi mitochondrion, complete genome"
NC_083970.1,"Isomyia nebulosa isolate Cangyuan mitochondrion, complete genome"
NC_083969.1,"Paraponera clavata mitochondrion, complete genome"
NC_083968.1,"Hybopsis amblops mitochondrion, complete genome"
NC_083967.1,"Parapoynx fluctuosalis voucher SGSACE01 mitochondrion, complete genome"
NC_083966.1,"Ceriagrion nipponicum voucher CNU15050 mitochondrion, complete genome"
NC_083963.1,"Chromodoris colemani mitochondrion, complete genome"
NC_083962.1,"Syngnathus watermeyeri mitochondrion, complete genome"
NC_083904.1,"Tribulocentrus zhenbaensis mitochondrion, complete genome"
NC_083903.1,"Pantaleon erectonodatus mitochondrion, complete genome"
NC_083902.1,"Leptocentrus longispinus mitochondrion, complete genome"
NC_083901.1,"Hemicentrus obliquus mitochondrion, complete genome"
NC_083900.1,"Antialcidas trifoliaceus mitochondrion, complete genome"
NC_084792.1,"Aburria aburri voucher LSUMZ B-27864 mitochondrion, complete genome"
NC_058990.1,"Macrohectopus branickii mitochondrion, complete genome"
NC_083664.1,"Nondenticentrus paramelanicus mitochondrion, complete genome"
NC_083611.1,"Leptobelus boreosinensis mitochondrion, complete genome"
NC_083392.1,"Telingana formosanus mitochondrion, complete genome"
NC_083486.1,"Psittacula echo mitochondrion, complete genome"
NC_083275.1,"Thitarodes xunhuaensis mitochondrion, complete genome"
NC_083274.1,"Lefroyothrips lefroyi mitochondrion, complete genome"
NC_083273.1,"Echinocrepis rostrata mitochondrion, complete genome"
NC_083272.1,"Acropora cervicornis mitochondrion, complete genome"
NC_083269.1,"Psettodes belcheri mitochondrion, complete genome"
NC_083268.1,"Epicrates crassus mitochondrion, complete genome"
NC_083267.1,"Oxyurichthys microlepis mitochondrion, complete genome"
NC_083266.1,"Oxyurichthys ophthalmonema mitochondrion, complete genome"
NC_083265.1,"Balaeniceps rex mitochondrion, complete genome"
NC_083222.1,"Globicephala melas mitochondrion, complete genome"
NC_082984.1,"Troglocarcinus corallicola mitochondrion, complete genome"
NC_082983.1,"Opecarcinus hypostegus mitochondrion, complete genome"
NC_082982.1,"Kroppcarcinus siderastreicola mitochondrion, complete genome"
NC_082964.1,"Cheiracanthium brevispinum mitochondrion, complete genome"
NC_082962.1,"Dorcus hirticornis mitochondrion, complete genome"
NC_082961.1,"Serrognathus castanicolor mitochondrion, complete genome"
NC_082960.1,"Dorcus cervulus mitochondrion, complete genome"
NC_082957.1,"Hemisodorcus macleayii mitochondrion, complete genome"
NC_082953.1,"Falcicornis taibaishanensis mitochondrion, complete genome"
NC_082951.1,"Dorcus tanakai mitochondrion, complete genome"
NC_082949.1,"Dorcus linwenhsini mitochondrion, complete genome"
NC_082941.1,"Ocnus glacialis mitochondrion, complete genome"
NC_082935.1,"Teredorus guangxiensis mitochondrion, complete genome"
NC_082934.1,"Exothotettix guangxiensis mitochondrion, complete genome"
NC_082933.1,"Euparatettix tridentatus mitochondrion, complete genome"
NC_082932.1,"Lisarda rhypara mitochondrion, complete genome"
NC_082918.1,"Galaxea paucisepta isolate JQg03M20 mitochondrion, complete genome"
NC_082917.1,"Galaxea astreata isolate JQg04M20 mitochondrion, complete genome"
NC_082905.1,"Trichochrysea japana mitochondrion, complete genome"
NC_082903.1,"Empoascanara hongkongica mitochondrion, complete genome"
NC_082902.1,"Empoascanara angkhangica mitochondrion, complete genome"
NC_082901.1,"Empoascanara circumscripta mitochondrion, complete genome"
NC_082900.1,"Empoascanara alami mitochondrion, complete genome"
NC_082899.1,"Empoascanara plamka mitochondrion, complete genome"
NC_082898.1,"Empoascanara defecta mitochondrion, complete genome"
NC_082897.1,"Empoascanara quarta mitochondrion, complete genome"
NC_082896.1,"Trapezia tigrina mitochondrion, complete genome"
NC_082895.1,"Quadrella coronata mitochondrion, complete genome"
NC_082894.1,"Trapezia bidentata mitochondrion, complete genome"
NC_082893.1,"Tetralia nigrolineata mitochondrion, complete genome"
NC_082892.1,"Tetraloides nigrifrons mitochondrion, complete genome"
NC_082891.1,"Trapezia formosa mitochondrion, complete genome"
NC_082890.1,"Trapezia rufopunctata mitochondrion, complete genome"
NC_082889.1,"Tetraloides heterodactylus mitochondrion, complete genome"
NC_082888.1,"Trapezia digitalis mitochondrion, complete genome"
NC_082887.1,"Trapezia septata mitochondrion, complete genome"
NC_082886.1,"Trapezia garthi mitochondrion, complete genome"
NC_082885.1,"Domecia hispida mitochondrion, complete genome"
NC_082884.1,"Tetralia rubridactyla mitochondrion, complete genome"
NC_082883.1,"Trapezia guttata mitochondrion, complete genome"
NC_082882.1,"Trapezia cymodoce mitochondrion, complete genome"
NC_082881.1,"Trapezia lutea mitochondrion, complete genome"
NC_082880.1,"Tetralia glaberrima mitochondrion, complete genome"
NC_082879.1,"Trapezia serenei mitochondrion, complete genome"
NC_082878.1,"Empoascanara falcata mitochondrion, complete genome"
NC_082877.1,"Acanthopleura vaillantii mitochondrion, complete genome"
NC_082876.1,"Sphinx ligustri mitochondrion, complete genome"
NC_082875.1,"Sphingulus mus mitochondrion, complete genome"
NC_082874.1,"Dolbina tancrei mitochondrion, complete genome"
NC_082873.1,"Acherontia styx mitochondrion, complete genome"
NC_082872.1,"Theretra silhetensis mitochondrion, complete genome"
NC_082871.1,"Pergesa acteus mitochondrion, complete genome"
NC_082870.1,"Craspedortha porphyria mitochondrion, complete genome"
NC_082869.1,"Cechetra lineosa mitochondrion, complete genome"
NC_082831.1,"Thienemanniella tusimufegea mitochondrion, complete genome"
NC_082829.1,"Thienemanniella triangula mitochondrion, complete genome"
NC_082757.1,"Sebastes alutus voucher UW:113197 mitochondrion, complete genome"
NC_082756.1,"Sebastes nebulosus voucher UW:112320 mitochondrion, complete genome"
NC_082755.1,"Lepidopsetta bilineata voucher UW:110234 mitochondrion, complete genome"
NC_082754.1,"Xenomystax congroides voucher USNM:FISH:455341 mitochondrion, complete genome"
NC_082753.1,"Seriola zonata voucher USNM:FISH:455323 mitochondrion, complete genome"
NC_082752.1,"Totoaba macdonaldi voucher USNM:FISH:455344 mitochondrion, complete genome"
NC_082751.1,"Scyliorhinus retifer voucher USNM:FISH:454790 mitochondrion, complete genome"
NC_082750.1,"Cookeolus japonicus voucher USNM:FISH:454789 mitochondrion, complete genome"
NC_082747.1,"Psenes maculatus voucher USNM:FISH:454779 mitochondrion, complete genome"
NC_082745.1,"Opisthonema oglinum voucher USNM:FISH:454763 mitochondrion, complete genome"
NC_082744.1,"Peristedion thompsoni voucher USNM:FISH:454760 mitochondrion, complete genome"
NC_082743.1,"Monacanthus ciliatus voucher USNM:FISH:454745 mitochondrion, complete genome"
NC_082742.1,"Aluterus heudelotii voucher USNM:FISH:454739 mitochondrion, complete genome"
NC_081090.1,"Dorylomorpha alaskensis voucher Jeff_Skevington_Specimen16896 mitochondrion, complete genome"
NC_081107.1,"Victoriana melanorrhina voucher CNC485431 mitochondrion, complete genome"
NC_081106.1,"Verrallia virginica voucher Jeff_Skevington_Specimen30087 mitochondrion, complete genome"
NC_081105.1,"Toxomerus saphiridiceps voucher Jeff_Skevington_Specimen28561 mitochondrion, complete genome"
NC_081104.1,"Themira nigricornis voucher Jeff_Skevington_Specimen26211 mitochondrion, complete genome"
NC_081103.1,"Sterphus plagiatus voucher CNC482893 mitochondrion, complete genome"
NC_081102.1,"Psilota atra voucher CNC463830 mitochondrion, complete genome"
NC_081101.1,"Psilota anthracina voucher CNC463847 mitochondrion, complete genome"
NC_081100.1,"Orthoprosopa grisea voucher CNC451876 mitochondrion, complete genome"
NC_081099.1,"Ornidia obesa voucher Jeff_Skevington_Specimen26413 mitochondrion, complete genome"
NC_081098.1,"Nephrocerus lapponicus voucher Jeff_Skevington_Specimen17818 mitochondrion, complete genome"
NC_081097.1,"Neoplesia analis voucher CNC484082 mitochondrion, complete genome"
NC_081096.1,"Meliscaeva auricollis voucher Jeff_Skevington_Specimen28586 mitochondrion, complete genome"
NC_081095.1,"Kertesziomyia violascens voucher CNC574525 mitochondrion, complete genome"
NC_081094.1,"Iteaphila macquarti voucher Jeff_Skevington_Specimen23238 mitochondrion, complete genome"
NC_081093.1,"Ironomyia nigromaculata voucher Jeff_Skevington_Specimen22756 mitochondrion, complete genome"
NC_081092.1,"Ocyptamus norina voucher CNC485166 mitochondrion, complete genome"
NC_081091.1,"Fazia fascifrons voucher Jeff_Skevington_Specimen28605 mitochondrion, complete genome"
NC_081089.1,"Dideopsis aegrota voucher CNC566860 mitochondrion, complete genome"
NC_081088.1,"Cyphipelta rufocyanea voucher CNC451771 mitochondrion, complete genome"
NC_081087.1,"Criorhina nigriventris voucher Jeff_Skevington_Specimen18100 mitochondrion, complete genome"
NC_081086.1,"Chasmomma nigrum voucher AB34950729 mitochondrion, complete genome"
NC_081085.1,"Ceriana vespiformis voucher Jeff_Skevington_Specimen25788 mitochondrion, complete genome"
NC_081084.1,"Callicera aenea voucher Jeff_Skevington_Specimen26336 mitochondrion, complete genome"
NC_081083.1,"Caliprobola speciosa voucher CNC483124 mitochondrion, complete genome"
NC_081082.1,"Austalis copiosa voucher CNC385071 mitochondrion, complete genome"
NC_081081.1,"Apystomyia elinguis voucher Jeff_Skevington_Specimen17017 mitochondrion, complete genome"
NC_081080.1,"Anasimyia lunulata voucher S._BOT_SPECIMEN32 mitochondrion, complete genome"
NC_081067.1,"Drepanocentron fuxiensis mitochondrion, complete genome"
NC_081045.1,"Spirobolus walkeri mitochondrion, complete genome"
NC_081042.1,"Regalecus russelii mitochondrion, complete genome"
NC_081041.1,"Lampris incognitus mitochondrion, complete genome"
NC_081039.1,"Tetragonula iridipennis voucher DOGR Voucher SHB01 mitochondrion, complete genome"
NC_081011.1,"Frankliniella panamensis mitochondrion, complete genome"
NC_081001.1,"Sarcophaga argyrostoma mitochondrion, complete genome"
NC_080987.1,"Ceriagrion auranticum mitochondrion, complete genome"
NC_080985.1,"Enneapterygius hsiojenae mitochondrion, complete genome"
NC_080978.1,"Franciscoloa roseicapillae mitochondrion, complete genome"
NC_080977.1,"Eomenopon denticulatum mitochondrion, complete genome"
NC_080976.1,"Plegadiphilus threskiornis mitochondrion, complete genome"
NC_080975.1,"Colpocephalum eucarenum mitochondrion, complete genome"
NC_080972.1,"Matrona cyanoptera mitochondrion, complete genome"
NC_080968.1,"Stenothyra glabra mitochondrion, complete genome"
NC_080965.1,"Luehdorfia chinensis huashanensis mitochondrion, complete genome"
NC_080964.1,"Conus marmoreus mitochondrion, complete genome"
NC_080963.1,"Conus imperialis mitochondrion, complete genome"
NC_080962.1,"Conus litteratus mitochondrion, complete genome"
NC_080961.1,"Conus virgo mitochondrion, complete genome"
NC_080958.1,"Nanomia bijuga voucher YPM:IZ:35039 mitochondrion, complete genome"
NC_080957.1,"Halistemma rubrum voucher YPM:IZ:35040 mitochondrion, complete genome"
NC_080956.1,"Stephanomia amphytridis voucher YPM:IZ:35076 mitochondrion, complete genome"
NC_080955.1,"Agalma okenii voucher YPM:IZ:35030 mitochondrion, complete genome"
NC_080954.1,"Agalma elegans voucher YPM:IZ:35029 mitochondrion, complete genome"
NC_080953.1,"Agalma clausi voucher YPM:IZ:35024 mitochondrion, complete genome"
NC_080952.1,"Craseoa lathetica mitochondrion, complete genome"
NC_080951.1,"Gymnopraia lapislazula voucher YPM:IZ:35360 mitochondrion, complete genome"
NC_080950.1,"Rosacea flaccida voucher YPM:IZ:35041 mitochondrion, complete genome"
NC_080949.1,"Praya dubia voucher YPM:IZ:35346 mitochondrion, complete genome"
NC_080948.1,"Resomia ornicephala mitochondrion, complete genome"
NC_080947.1,"Bargmannia lata voucher YPM:IZ:110226 mitochondrion, complete genome"
NC_080946.1,"Apolemia rubriversa mitochondrion, complete genome"
NC_080945.1,"Erenna sirena voucher YPM:IZ:35362 mitochondrion, complete genome"
NC_080944.1,"Stephalia dilata voucher YPM:IZ:35358 mitochondrion, complete genome"
NC_080943.1,"Bargmannia elongata mitochondrion, complete genome"
NC_080942.1,"Rhizophysa eysenhardtii voucher YPM:IZ:35355 mitochondrion, complete genome"
NC_080941.1,"Rhizophysa filiformis voucher YPM:IZ:35347 mitochondrion, complete genome"
NC_080940.1,"Chuniphyes multidentata voucher YPM:IZ:110225 mitochondrion, complete genome"
NC_080939.1,"Chelophyes appendiculata voucher YPM:IZ:35049 mitochondrion, complete genome"
NC_080938.1,"Abylopsis tetragona voucher YPM:IZ:35350 mitochondrion, complete genome"
NC_080937.1,"Diphyes dispar voucher YPM:IZ:35033 mitochondrion, complete genome"
NC_080936.1,"Austromenopon paululum mitochondrion, complete genome"
NC_080869.1,"Tenguna kuankuoshuiensis mitochondrion, complete genome"
NC_083213.1,"Discogobio brachyphysallidos mitochondrion, complete genome"
NC_083212.1,"Euphausia crystallorophias mitochondrion, complete genome"
NC_083191.1,"Poraniopsis inflata mitochondrion, complete genome"
NC_083189.1,"Remora osteochir voucher SIO:e43f8d1e-dcef-48d9-ad63-89fa4b02e687 mitochondrion, complete genome"
NC_083188.1,"Notoscopelus resplendens voucher SIO:1adfa415-543a-448f-b0de-33faba0cb4e6 mitochondrion, complete genome"
NC_083187.1,"Larimus fasciatus voucher USNM:FISH:416752 mitochondrion, complete genome"
NC_083186.1,"Eviota epiphanes voucher USNM:FISH:442226 mitochondrion, complete genome"
NC_083185.1,"Uropterygius macrocephalus voucher USNM:FISH:424083 mitochondrion, complete genome"
NC_083184.1,"Cubiceps paradoxus voucher SIO:060066e8-fa56-4c48-bc4d-5f0fe770fe7e mitochondrion, complete genome"
NC_083183.1,"Euprotomicrus bispinatus voucher SIO:0d7939be-1e02-4b22-bcd2-2e88c1bd1bad mitochondrion, complete genome"
NC_083182.1,"Centropyge nigriocellus voucher USNM:FISH:446053 mitochondrion, complete genome"
NC_083181.1,"Pleurosicya micheli voucher USNM:FISH:435166 mitochondrion, complete genome"
NC_083180.1,"Ophidion muraenolepis voucher USNM:FISH:409285 mitochondrion, complete genome"
NC_083179.1,"Priolepis semidoliata voucher USNM:FISH:400479 mitochondrion, complete genome"
NC_083178.1,"Uroconger lepturus voucher USNM:FISH:424672 mitochondrion, complete genome"
NC_083177.1,"Bathytyphlops marionae voucher USNM:FISH:407057 mitochondrion, complete genome"
NC_083176.1,"Myrophis microchir voucher USNM:FISH:446466 mitochondrion, complete genome"
NC_083175.1,"Tigrigobius multifasciatus voucher USNM:FISH:414510 mitochondrion, complete genome"
NC_083174.1,"Eucinostomus gula voucher USNM:FISH:416720 mitochondrion, complete genome"
NC_083173.1,"Atheresthes stomias voucher UW:47694 mitochondrion, complete genome"
NC_083172.1,"Atheresthes evermanni voucher UW:151947 mitochondrion, complete genome"
NC_083171.1,"Benthodesmus simonyi voucher USNM:FISH:454781 mitochondrion, complete genome"
NC_083170.1,"Monolene sessilicauda voucher USNM:FISH:454775 mitochondrion, complete genome"
NC_083169.1,"Baldwinella aureorubens voucher USNM:FISH:454771 mitochondrion, complete genome"
NC_083168.1,"Sphyraena borealis voucher USNM:FISH:454752 mitochondrion, complete genome"
NC_083167.1,"Lepidopus altifrons voucher USNM:FISH:454728 mitochondrion, complete genome"
NC_083166.1,"Scorpaena brachyptera voucher USNM:FISH:406389 mitochondrion, complete genome"
NC_083165.1,"Gadomus arcuatus voucher USNM:FISH:407763 mitochondrion, complete genome"
NC_083164.1,"Gadella imberbis voucher USNM:FISH:407594 mitochondrion, complete genome"
NC_083163.1,"Caulolatilus cyanops voucher USNM:FISH:407582 mitochondrion, complete genome"
NC_083162.1,"Polymetme thaeocoryla voucher USNM:FISH:407426 mitochondrion, complete genome"
NC_083161.1,"Malacocephalus laevis voucher USNM:FISH:407424 mitochondrion, complete genome"
NC_083160.1,"Laemonema goodebeanorum voucher USNM:FISH:407169 mitochondrion, complete genome"
NC_083159.1,"Baldwinella vivanus voucher USNM:FISH:431748 mitochondrion, complete genome"
NC_083158.1,"Synchiropus atrilabiatus voucher USNM:FISH:422551 mitochondrion, complete genome"
NC_083157.1,"Bathygadus melanobranchus voucher USNM:FISH:405034 mitochondrion, complete genome"
NC_083156.1,"Trinectes inscriptus voucher USNM:FISH:414275 mitochondrion, complete genome"
NC_083155.1,"Symphysanodon katayamai voucher USNM:FISH:437811 mitochondrion, complete genome"
NC_083153.1,"Giraffa reticulata isolate GF182 mitochondrion, complete genome"
NC_083152.1,"Rhynchophorus phoenicis voucher VS9815 mitochondrion, complete genome"
NC_083151.1,"Chromodoris elisabethina mitochondrion, complete genome"
NC_083150.1,"Sternoptyx obscura mitochondrion, complete genome"
NC_083149.1,"Cheilopogon abei mitochondrion, complete genome"
NC_083148.1,"Rhogeessa alleni mitochondrion, complete genome"
NC_083140.1,"Gymnothorax odishi mitochondrion, complete genome"
NC_083132.1,"Urolophus aurantiacus mitochondrion, complete genome"
NC_083130.1,"Pseudophilothrips ichini isolate Pi-P1 mitochondrion, complete genome"
NC_083122.1,"Lima vulgaris mitochondrion, complete genome"
NC_083121.1,"Baronia brevicornis voucher FC897 mitochondrion, complete genome"
NC_083118.1,"Centrotypus laticornis mitochondrion, complete genome"
NC_083117.1,"Cinclus pallasii mitochondrion, complete genome"
NC_083046.1,"Bathymaster signatus voucher UW:117270 mitochondrion, complete genome"
NC_083094.1,"Lagenorhynchus albirostris mitochondrion, complete genome"
NC_062077.1,"Bufotes turanensis mitochondrion, complete genome"
NC_083093.1,"Ophidion marginatum voucher USNM:FISH:454764 mitochondrion, complete genome"
NC_083092.1,"Cantherhines pullus voucher USNM:FISH:416466 mitochondrion, complete genome"
NC_083080.1,"Bothus robinsi voucher USNM:FISH:454738 mitochondrion, complete genome"
NC_083079.1,"Conger oceanicus voucher USNM:FISH:454713 mitochondrion, complete genome"
NC_083078.1,"Astrapogon alutus voucher USNM:FISH:415336 mitochondrion, complete genome"
NC_083077.1,"Gadomus longifilis voucher USNM:FISH:400794 mitochondrion, complete genome"
NC_083076.1,"Hypoplectrus floridae voucher USNM:FISH:446573 mitochondrion, complete genome"
NC_083075.1,"Hypoplectrus puella voucher USNM:FISH:446555 mitochondrion, complete genome"
NC_083074.1,"Hypoplectrus unicolor voucher USNM:FISH:416316 mitochondrion, complete genome"
NC_083073.1,"Lepophidium profundorum voucher USNM:FISH:454723 mitochondrion, complete genome"
NC_083072.1,"Sudis atrox voucher SIO:24c3372b-38b2-460a-98ae-9e6b06777f10 mitochondrion, complete genome"
NC_083071.1,"Remora brachyptera voucher USNM:FISH:405009 mitochondrion, complete genome"
NC_083070.1,"Monopenchelys acuta voucher USNM:FISH:401772 mitochondrion, complete genome"
